Rank,Title,Artist,Production
104,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Atlantic Records
105,Yet To Come,방탄소년단,BIGHIT MUSIC
106,첫눈처럼 너에게 가겠다,에일리 (Ailee),"Stone Music Entertainment, 화앤담픽쳐스"
107,희재,성시경,씨에스해피엔터테인먼트
108,Celebrity,아이유 (IU),EDAM엔터테인먼트
109,The Drum,Alan Walker,MER Recordings
110,한 페이지가 될 수 있게,DAY6,JYP Entertainment
111,밤편지,아이유 (IU),"페이브엔터테인먼트,카카오 M"
112,첫 눈,EXO,SM Entertainment
113,인생찬가,임영웅,물고기뮤직
114,SMILEY (Feat. BIBI),YENA(최예나),위에화엔터테인먼트코리아
115,고백연습,경서,꿈의엔진
116,A bientot,임영웅,물고기뮤직
117,Daydream,몬스타엑스,스타쉽엔터테인먼트
118,Puzzle,SF9 (에스에프나인),FNC엔터테인먼트
119,Hurt,NewJeans,ADOR
120,가슴으로 운다,김연지,방구석 캐스팅
121,DICE,NMIXX,JYP Entertainment
122,LONE RANGER,몬스타엑스,스타쉽엔터테인먼트
123,Girls,aespa,SM Entertainment
124,춤사위 (Crescendo),몬스타엑스,스타쉽엔터테인먼트
125,어른,Sondia,Stone Music Entertainment
126,Deny,몬스타엑스,스타쉽엔터테인먼트
127,손이 참 곱던 그대,임영웅,물고기뮤직
128,I`m Not The Only One,Sam Smith,Capitol Records
129,추억때문에,유림,원탑엔터테인먼트
130,사랑해 진짜,임영웅,물고기뮤직
131,괜찮아,몬스타엑스,스타쉽엔터테인먼트
132,Santa Tell Me,Ariana Grande,"Republic Records, a division of UMG Recordings,Inc"
133,Cheshire,ITZY (있지),JYP Entertainment
134,All I Want For Christmas Is You,Mariah Carey,Columbia/Legacy
135,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",NEOKIDZ
136,너를 생각해,주시크 (Joosiq),뮤직레시피
137,연애편지,임영웅,물고기뮤직
138,Talk that Talk,TWICE,JYP Entertainment
139,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),넥스타엔터테인먼트
140,2002,Anne-Marie,Atlantic Records UK
141,GHOST TOWN,Benson Boone,Warner Records
142,WE (Feat. 박재범) (Prod. by Slom),"이영지, 토이고 (toigo), 제이켠 (J`Kyun), 잠비노 (Jambino), XINSAYNE",Stone Music Entertainment
143,문 (Moon),NCT DREAM,SM Entertainment
144,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
145,KICK BACK,Kenshi Yonezu,Sony Music Labels Inc.
146,Blueming,아이유 (IU),Kakao Entertainment
147,오르골 (Life Is Still Going On),NCT DREAM,SM Entertainment
148,GANADARA (Feat. 아이유),박재범,MORE VISION
149,라일락,아이유 (IU),EDAM엔터테인먼트
150,보금자리,임영웅,물고기뮤직
151,LAW (Prod. Czaer),"윤미래, 비비(BIBI)",Stone Music Entertainment
152,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트
153,STEP,카라 (KARA),DSP미디어
